usuario_id,fecha_registro,pais,ciudad,edad,segmento_edad,genero,canal_adquisicion
U00001,2024-02-06,Chile,Concepción,33,25-34,Prefiere no indicar,Orgánico
U00002,2025-05-13,Chile,Valparaíso,63,55+,Femenino,Redes sociales
U00003,2023-03-17,México,Ciudad de México,32,25-34,Femenino,Referido
U00004,2023-01-25,España,Madrid,47,45-54,Femenino,Orgánico
U00005,2025-03-16,Chile,La Serena,41,35-44,Femenino,Orgánico
U00006,2025-03-13,Chile,Temuco,37,35-44,Masculino,Redes sociales
U00007,2023-05-16,Chile,Valparaíso,18,18-24,Femenino,Publicidad digital
U00008,2024-12-12,Chile,Valparaíso,28,25-34,Femenino,Publicidad digital
U00009,2024-04-26,Argentina,Córdoba,29,25-34,Femenino,Referido
U00010,2024-03-14,México,Puebla,36,35-44,Masculino,Orgánico
U00011,2023-04-10,México,Puebla,33,25-34,Masculino,Redes sociales
U00012,2025-10-05,México,Ciudad de México,56,55+,Masculino,Orgánico
U00013,2024-12-02,Argentina,Mendoza,42,35-44,Prefiere no indicar,Orgánico
U00014,2025-03-04,Ecuador,Guayaquil,28,25-34,Femenino,Redes sociales
U00015,2025-02-03,España,Barcelona,29,25-34,Prefiere no indicar,Referido
U00016,2023-01-16,Chile,Valparaíso,43,35-44,Femenino,Referido
U00017,2023-11-21,México,Puebla,52,45-54,Masculino,Orgánico
U00018,2024-06-19,Ecuador,Guayaquil,44,35-44,Masculino,Redes sociales
U00019,2024-02-19,Perú,Trujillo,44,35-44,Femenino,Orgánico
U00020,2025-07-16,Argentina,Córdoba,38,35-44,Masculino,Orgánico
U00021,2025-06-01,Argentina,Buenos Aires,35,35-44,Masculino,Alianza comercial
U00022,2023-06-22,Colombia,Barranquilla,28,25-34,Femenino,Orgánico
U00023,2024-12-15,Ecuador,Cuenca,18,18-24,Femenino,Orgánico
U00024,2025-01-30,Perú,Arequipa,45,45-54,Femenino,Redes sociales
U00025,2024-11-02,Chile,La Serena,58,55+,Masculino,Referido
U00026,2025-08-09,Chile,La Serena,25,25-34,Femenino,Orgánico
U00027,2025-04-21,Chile,La Serena,26,25-34,Masculino,Publicidad digital
U00028,2023-09-22,México,Guadalajara,37,35-44,Masculino,Redes sociales
U00029,2024-02-12,España,Valencia,40,35-44,Femenino,Referido
U00030,2024-03-16,Perú,Trujillo,21,18-24,Masculino,Orgánico
U00031,2024-12-20,Perú,Lima,45,45-54,Masculino,Alianza comercial
U00032,2025-06-17,Ecuador,Cuenca,18,18-24,Femenino,Orgánico
U00033,2023-02-10,Perú,Lima,45,45-54,No binario,Redes sociales
U00034,2024-04-23,Chile,Concepción,52,45-54,Femenino,Redes sociales
U00035,2025-05-11,Chile,Temuco,44,35-44,Femenino,Alianza comercial
U00036,2024-02-21,Ecuador,Cuenca,41,35-44,Femenino,Redes sociales
U00037,2023-02-13,México,Ciudad de México,23,18-24,Femenino,Orgánico
U00038,2025-10-10,México,Monterrey,18,18-24,Masculino,Alianza comercial
U00039,2024-10-26,México,Monterrey,33,25-34,Femenino,Referido
U00040,2025-02-21,Chile,Temuco,50,45-54,Femenino,Referido
U00041,2023-11-02,Perú,Trujillo,33,25-34,Masculino,Alianza comercial
U00042,2025-08-20,Chile,Valparaíso,32,25-34,Femenino,Publicidad digital
U00043,2023-03-30,México,Monterrey,46,45-54,Femenino,Orgánico
U00044,2024-06-15,España,Madrid,47,45-54,Femenino,Referido
U00045,2024-06-26,Chile,Santiago,40,35-44,Masculino,Redes sociales
U00046,2025-01-21,Colombia,Barranquilla,37,35-44,Femenino,Publicidad digital
U00047,2025-09-23,Argentina,Buenos Aires,18,18-24,Masculino,Alianza comercial
U00048,2025-08-09,México,Guadalajara,18,18-24,No binario,Orgánico
U00049,2024-09-25,Argentina,Mendoza,20,18-24,Masculino,Orgánico
U00050,2023-12-08,Chile,La Serena,38,35-44,Femenino,Publicidad digital
U00051,2023-02-12,Chile,Valparaíso,23,18-24,Masculino,Redes sociales
U00052,2024-11-26,Colombia,Bogotá,24,18-24,Masculino,Redes sociales
U00053,2023-05-07,Argentina,Buenos Aires,43,35-44,Masculino,Publicidad digital
U00054,2025-01-12,México,Monterrey,36,35-44,No binario,Redes sociales
U00055,2025-11-01,Perú,Trujillo,36,35-44,Femenino,Alianza comercial
U00056,2025-09-13,España,Valencia,24,18-24,Femenino,Orgánico
U00057,2025-02-26,Chile,La Serena,43,35-44,Masculino,Referido
U00058,2023-07-15,Colombia,Barranquilla,18,18-24,Femenino,Orgánico
U00059,2024-02-24,Perú,Arequipa,43,35-44,Femenino,Publicidad digital
U00060,2025-01-17,México,Guadalajara,51,45-54,Masculino,Publicidad digital
U00061,2025-03-11,México,Guadalajara,35,35-44,Masculino,Redes sociales
U00062,2023-09-04,Chile,Concepción,29,25-34,Masculino,Referido
U00063,2024-09-09,Chile,La Serena,41,35-44,Femenino,Orgánico
U00064,2025-01-07,México,Monterrey,35,35-44,Masculino,Redes sociales
U00065,2023-05-27,Chile,Concepción,34,25-34,Masculino,Publicidad digital
U00066,2023-08-18,Chile,Temuco,35,35-44,Masculino,Redes sociales
U00067,2024-04-14,Perú,Lima,46,45-54,Femenino,Referido
U00068,2025-05-01,México,Puebla,37,35-44,Femenino,Redes sociales
U00069,2023-04-01,Chile,Temuco,41,35-44,Masculino,Redes sociales
U00070,2025-10-16,México,Ciudad de México,25,25-34,Masculino,Orgánico
U00071,2023-12-21,México,Ciudad de México,39,35-44,Femenino,Redes sociales
U00072,2024-10-07,Argentina,Buenos Aires,18,18-24,Masculino,Redes sociales
U00073,2024-12-08,Chile,Concepción,54,45-54,Femenino,Orgánico
U00074,2025-09-14,Argentina,Rosario,27,25-34,Prefiere no indicar,Referido
U00075,2024-04-30,México,Puebla,22,18-24,Femenino,Orgánico
U00076,2024-02-05,España,Madrid,21,18-24,Femenino,Referido
U00077,2023-03-18,Argentina,Rosario,23,18-24,Masculino,Referido
U00078,2024-10-06,Ecuador,Cuenca,49,45-54,Masculino,Orgánico
U00079,2023-07-03,Chile,Santiago,36,35-44,Masculino,Orgánico
U00080,2023-10-11,Perú,Cusco,35,35-44,Femenino,Publicidad digital
U00081,2023-02-24,Chile,Valparaíso,51,45-54,Femenino,Redes sociales
U00082,2024-06-19,Argentina,Rosario,20,18-24,Prefiere no indicar,Referido
U00083,2025-08-02,Colombia,Barranquilla,21,18-24,Masculino,Orgánico
U00084,2025-08-31,Perú,Cusco,28,25-34,Masculino,Publicidad digital
U00085,2025-05-17,Chile,Valparaíso,46,45-54,Femenino,Redes sociales
U00086,2024-03-02,Argentina,Rosario,29,25-34,Masculino,Redes sociales
U00087,2023-09-10,Colombia,Cali,22,18-24,Masculino,Orgánico
U00088,2025-01-25,Chile,Concepción,63,55+,Masculino,Redes sociales
U00089,2025-04-12,Argentina,Buenos Aires,35,35-44,Masculino,Publicidad digital
