contenido_id,titulo,tipo_contenido,genero_principal,subgenero,clasificacion_edad,anio_estreno,duracion_min,temporadas,episodios,idioma_original,pais_origen,exclusivo,fecha_alta_catalogo
C0001,Marea Alto 1,Serie,Comedia,Romántica,16+,2012,49,1,9,Inglés,Estados Unidos,No,2023-08-19
C0002,Tiempo Azul 2,Película,Documental,Sociedad,16+,2001,131,0,1,Español,España,No,2025-07-21
C0003,Eco Global 3,Película,Acción,Supervivencia,18+,2005,123,0,1,Inglés,Estados Unidos,Sí,2025-05-09
C0004,Destino Rojo 4,Película,Aventura,Exploración,13+,1998,98,0,1,Inglés,España,No,2025-04-08
C0005,Eco Norte 5,Documental,Drama,Histórico,13+,2000,73,0,1,Español,España,No,2023-11-24
C0006,Memoria Secreto 6,Película,Aventura,Supervivencia,13+,1998,145,0,1,Inglés,Estados Unidos,No,2024-01-19
C0007,Secreto Secreto 7,Serie,Romance,Época,7+,2012,45,2,12,Español,México,No,2025-10-24
C0008,Punto Nocturno 8,Película,Drama,Social,7+,2001,92,0,1,Español,Reino Unido,No,2023-11-06
C0009,Luz Final 9,Documental,Animación,Familiar,13+,1998,65,0,1,Francés,Estados Unidos,Sí,2023-03-12
C0010,Ciudad Digital 10,Película,Drama,Familiar,13+,2020,154,0,1,Español,Estados Unidos,No,2024-02-06
C0011,Última Libre 11,Película,Romance,Comedia,13+,2022,120,0,1,Inglés,México,Sí,2024-03-22
C0012,Origen Azul 12,Película,Ciencia ficción,Espacio,13+,2020,147,0,1,Español,Estados Unidos,No,2024-02-16
C0013,Noche Azul 13,Serie,Crimen,Judicial,18+,1999,48,2,18,Español,Brasil,No,2025-02-05
C0014,Planeta Rojo 14,Serie,Comedia,Romántica,13+,2019,48,5,55,Español,Estados Unidos,No,2022-07-27
C0015,Planeta Central 15,Película,Thriller,Conspiración,18+,1999,104,0,1,Portugués,Argentina,No,2022-01-05
C0016,Horizonte Norte 16,Serie,Thriller,Misterio,7+,2003,58,5,40,Español,Chile,No,2023-10-10
C0017,Tiempo Perdido 17,Película,Romance,Época,18+,2024,134,0,1,Español,Estados Unidos,No,2025-07-24
C0018,Frontera Central 18,Serie,Thriller,Conspiración,13+,2022,53,5,40,Inglés,Chile,No,2025-02-23
C0019,Última Final 19,Película,Thriller,Psicológico,16+,2007,102,0,1,Coreano,Estados Unidos,No,2023-03-03
C0020,Archivo Infinito 20,Serie,Animación,Fantasía,16+,2021,38,3,36,Español,México,Sí,2024-07-07
C0021,Archivo Nocturno 21,Serie,Acción,Supervivencia,16+,2019,40,4,40,Portugués,Brasil,No,2023-06-09
C0022,Archivo Secreto 22,Película,Thriller,Misterio,18+,2021,110,0,1,Español,España,No,2023-09-06
C0023,Tiempo Secreto 23,Serie,Comedia,Familiar,13+,2014,48,4,32,Español,Chile,No,2025-01-27
C0024,Latido Infinito 24,Película,Crimen,Judicial,16+,2005,98,0,1,Español,México,No,2025-06-22
C0025,Horizonte Bajo 25,Serie,Comedia,Familiar,13+,2020,55,5,40,Español,Estados Unidos,No,2025-06-27
C0026,Punto Secreto 26,Película,Documental,Naturaleza,Todo público,2023,144,0,1,Español,Reino Unido,Sí,2023-10-14
C0027,Última Invisible 27,Serie,Romance,Drama,13+,2025,40,3,30,Inglés,Estados Unidos,No,2025-04-12
C0028,Ciudad Oculto 28,Película,Ciencia ficción,Futuro,13+,2018,147,0,1,Español,Brasil,Sí,2025-09-14
C0029,Vértigo Humano 29,Película,Acción,Supervivencia,7+,2005,118,0,1,Inglés,Reino Unido,Sí,2022-07-13
C0030,Marea Perdido 30,Serie,Comedia,Situacional,Todo público,2017,39,4,44,Español,Estados Unidos,No,2023-10-31
C0031,Última Perdido 31,Película,Drama,Histórico,18+,2013,119,0,1,Inglés,España,No,2025-05-07
C0032,Pulso Global 32,Película,Comedia,Sátira,16+,2004,124,0,1,Inglés,Brasil,Sí,2023-03-15
C0033,Código Central 33,Película,Thriller,Suspenso,18+,2004,92,0,1,Inglés,México,Sí,2022-09-09
C0034,Ruta Silencioso 34,Serie,Comedia,Situacional,13+,2008,29,1,12,Español,España,Sí,2024-09-16
C0035,Latido Invisible 35,Serie,Drama,Juvenil,13+,2025,30,5,40,Español,Chile,No,2022-07-24
C0036,Ruta Invisible 36,Película,Ciencia ficción,Tecnología,7+,2013,103,0,1,Inglés,Estados Unidos,Sí,2024-10-09
C0037,Sombras Abierto 37,Serie,Romance,Juvenil,7+,2018,57,2,18,Inglés,Corea del Sur,No,2022-12-10
C0038,Planeta Secreto 38,Película,Animación,Familiar,18+,2016,143,0,1,Inglés,España,Sí,2022-12-04
C0039,Punto Secreto 39,Película,Comedia,Sátira,7+,2001,150,0,1,Inglés,México,No,2022-02-05
C0040,Latido Profundo 40,Documental,Acción,Artes marciales,16+,2003,84,0,1,Inglés,Reino Unido,No,2025-10-10
C0041,Ciudad Final 41,Película,Drama,Social,18+,2015,132,0,1,Español,Argentina,No,2023-05-26
C0042,Vértigo Humano 42,Serie,Comedia,Romántica,13+,2001,45,1,8,Español,Estados Unidos,Sí,2022-05-24
C0043,Noche Humano 43,Película,Drama,Familiar,Todo público,1999,117,0,1,Español,Corea del Sur,Sí,2023-05-25
C0044,Horizonte Perdido 44,Serie,Aventura,Supervivencia,18+,2017,31,1,8,Español,Estados Unidos,No,2024-07-29
C0045,Secreto Nocturno 45,Película,Acción,Policial,18+,2006,97,0,1,Español,Argentina,No,2023-12-24
C0046,Frontera Digital 46,Película,Aventura,Fantasía,18+,2025,90,0,1,Inglés,Estados Unidos,Sí,2022-04-25
C0047,Ruta Nocturno 47,Película,Aventura,Viaje,7+,2013,130,0,1,Español,México,No,2023-10-12
C0048,Destino Global 48,Serie,Acción,Policial,13+,2005,42,1,10,Español,Estados Unidos,Sí,2022-05-27
C0049,Horizonte Digital 49,Serie,Drama,Social,13+,2003,50,3,24,Inglés,Reino Unido,No,2022-03-23
C0050,Vértigo Norte 50,Serie,Crimen,Mafia,16+,2016,53,5,60,Inglés,Corea del Sur,No,2022-05-08
C0051,Secreto Central 51,Película,Comedia,Familiar,16+,1998,127,0,1,Español,Estados Unidos,No,2022-08-07
C0052,Luz Central 52,Película,Thriller,Suspenso,13+,2024,120,0,1,Inglés,Estados Unidos,No,2023-09-03
